Statistik_Code;Statistik_Label;Zeit_Code;Zeit_Label;Zeit;1_Merkmal_Code;1_Merkmal_Label;1_Auspraegung_Code;1_Auspraegung_Label;2_Merkmal_Code;2_Merkmal_Label;2_Auspraegung_Code;2_Auspraegung_Label;BEVSTD__Bevoelkerungsstand__Anzahl
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05158028;      Ratingen, Stadt;NAT;Nationalität;NATA;Ausländer;10790
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05158032;      Velbert, Stadt;NAT;Nationalität;;Insgesamt;81842
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05158032;      Velbert, Stadt;NAT;Nationalität;NATD;Deutsche;69653
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05158032;      Velbert, Stadt;NAT;Nationalität;NATA;Ausländer;12189
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05158036;      Wülfrath, Stadt;NAT;Nationalität;;Insgesamt;20957
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05158036;      Wülfrath, Stadt;NAT;Nationalität;NATD;Deutsche;18491
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05158036;      Wülfrath, Stadt;NAT;Nationalität;NATA;Ausländer;2466
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05162;    Rhein-Kreis Neuss;NAT;Nationalität;;Insgesamt;451730
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05162;    Rhein-Kreis Neuss;NAT;Nationalität;NATD;Deutsche;397080
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05162;    Rhein-Kreis Neuss;NAT;Nationalität;NATA;Ausländer;54650
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05162004;      Dormagen, Stadt;NAT;Nationalität;;Insgesamt;64340
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05162004;      Dormagen, Stadt;NAT;Nationalität;NATD;Deutsche;56086
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05162004;      Dormagen, Stadt;NAT;Nationalität;NATA;Ausländer;8254
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05162008;      Grevenbroich, Stadt;NAT;Nationalität;;Insgesamt;63743
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05162008;      Grevenbroich, Stadt;NAT;Nationalität;NATD;Deutsche;55748
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05162008;      Grevenbroich, Stadt;NAT;Nationalität;NATA;Ausländer;7995
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05162012;      Jüchen, Stadt;NAT;Nationalität;;Insgesamt;23294
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05162012;      Jüchen, Stadt;NAT;Nationalität;NATD;Deutsche;21812
12411;Fortschreibung des Bevölkerungsstandes;STAG;Stichtag;31.12.2019;GEMEIN;Gemeinden;05162012;      Jüchen, Stadt;NAT;Nationalität;NATA;Ausländer;1482
